Permutation: (0, 1, 2, 3, 4) -> TKREU YASNI AOINT BDIGR IEGAN SRENT EORPU EDNWA EETRS NISAA
Permutation: (0, 1, 2, 4, 3) -> TKRUE YASIN AOITN BDIRG IEGNA SRETN EORUP EDNAW EETSR NISAA
Permutation: (0, 1, 3, 2, 4) -> TKERU YANSI AONIT BDGIR IEAGN SRNET EOPRU EDWNA EERTS NIASA
Permutation: (0, 1, 3, 4, 2) -> TKEUR YANIS AONTI BDGRI IEANG SRNTE EOPUR EDWAN EERST NIAAS
Permutation: (0, 1, 4, 2, 3) -> TKURE YAISN AOTIN BDRIG IENGA SRTEN EOURP EDANW EESTR NIASA
Permutation: (0, 1, 4, 3, 2) -> TKUER YAINS AOTNI BDRGI IENAG SRTNE EOUPR EDAWN EESRT NIAAS
Permutation: (0, 2, 1, 3, 4) -> TRKEU YSANI AIONT BIDGR IGEAN SERNT EROPU ENDWA ETERS NSIAA
Permutation: (0, 2, 1, 4, 3) -> TRKUE YSAIN AIOTN BIDRG IGENA SERTN EROUP ENDAW ETESR NSIAA
Permutation: (0, 2, 3, 1, 4) -> TREKU YSNAI AINOT BIGDR IGAEN SENRT ERPOU ENWDA ETRES NSAIA
Permutation: (0, 2, 3, 4, 1) -> TREUK YSNIA AINTO BIGRD IGANE SENTR ERPUO ENWAD ETRSE NSAAI
Permutation: (0, 2, 4, 1, 3) -> TRUKE YSIAN AITON BIRDG IGNEA SETRN ERUOP ENADW ETSER NSAIA
Permutation: (0, 2, 4, 3, 1) -> TRUEK YSINA AITNO BIRGD IGNAE SETNR ERUPO ENAWD ETSRE NSAAI
Permutation: (0, 3, 1, 2, 4) -> TEKRU YNASI ANOIT BGDIR IAEGN SNRET EPORU EWDNA ERETS NAISA
Permutation: (0, 3, 1, 4, 2) -> TEKUR YNAIS ANOTI BGDRI IAENG SNRTE EPOUR EWDAN EREST NAIAS
Permutation: (0, 3, 2, 1, 4) -> TERKU YNSAI ANIOT BGIDR IAGEN SNERT EPROU EWNDA ERTES NASIA
Permutation: (0, 3, 2, 4, 1) -> TERUK YNSIA ANITO BGIRD IAGNE SNETR EPRUO EWNAD ERTSE NASAI
Permutation: (0, 3, 4, 1, 2) -> TEUKR YNIAS ANTOI BGRDI IANEG SNTRE EPUOR EWADN ERSET NAAIS
Permutation: (0, 3, 4, 2, 1) -> TEURK YNISA ANTIO BGRID IANGE SNTER EPURO EWAND ERSTE NAASI
Permutation: (0, 4, 1, 2, 3) -> TUKRE YIASN ATOIN BRDIG INEGA STREN EUORP EADNW ESETR NAISA
Permutation: (0, 4, 1, 3, 2) -> TUKER YIANS ATONI BRDGI INEAG STRNE EUOPR EADWN ESERT NAIAS
Permutation: (0, 4, 2, 1, 3) -> TURKE YISAN ATION BRIDG INGEA STERN EUROP EANDW ESTER NASIA
Permutation: (0, 4, 2, 3, 1) -> TUREK YISNA ATINO BRIGD INGAE STENR EURPO EANWD ESTRE NASAI
Permutation: (0, 4, 3, 1, 2) -> TUEKR YINAS ATNOI BRGDI INAEG STNRE EUPOR EAWDN ESRET NAAIS
Permutation: (0, 4, 3, 2, 1) -> TUERK YINSA ATNIO BRGID INAGE STNER EUPRO EAWND ESRTE NAASI
Permutation: (1, 0, 2, 3, 4) -> KTREU AYSNI OAINT DBIGR EIGAN RSENT OERPU DENWA EETRS INSAA
Permutation: (1, 0, 2, 4, 3) -> KTRUE AYSIN OAITN DBIRG EIGNA RSETN OERUP DENAW EETSR INSAA
Permutation: (1, 0, 3, 2, 4) -> KTERU AYNSI OANIT DBGIR EIAGN RSNET OEPRU DEWNA EERTS INASA
Permutation: (1, 0, 3, 4, 2) -> KTEUR AYNIS OANTI DBGRI EIANG RSNTE OEPUR DEWAN EERST INAAS
Permutation: (1, 0, 4, 2, 3) -> KTURE AYISN OATIN DBRIG EINGA RSTEN OEURP DEANW EESTR INASA
Permutation: (1, 0, 4, 3, 2) -> KTUER AYINS OATNI DBRGI EINAG RSTNE OEUPR DEAWN EESRT INAAS
Permutation: (1, 2, 0, 3, 4) -> KRTEU ASYNI OIANT DIBGR EGIAN RESNT OREPU DNEWA ETERS ISNAA
Permutation: (1, 2, 0, 4, 3) -> KRTUE ASYIN OIATN DIBRG EGINA RESTN OREUP DNEAW ETESR ISNAA
Permutation: (1, 2, 3, 0, 4) -> KRETU ASNYI OINAT DIGBR EGAIN RENST ORPEU DNWEA ETRES ISANA
Permutation: (1, 2, 3, 4, 0) -> KREUT ASNIY OINTA DIGRB EGANI RENTS ORPUE DNWAE ETRSE ISAAN
Permutation: (1, 2, 4, 0, 3) -> KRUTE ASIYN OITAN DIRBG EGNIA RETSN ORUEP DNAEW ETSER ISANA
Permutation: (1, 2, 4, 3, 0) -> KRUET ASINY OITNA DIRGB EGNAI RETNS ORUPE DNAWE ETSRE ISAAN
Permutation: (1, 3, 0, 2, 4) -> KETRU ANYSI ONAIT DGBIR EAIGN RNSET OPERU DWENA ERETS IANSA
Permutation: (1, 3, 0, 4, 2) -> KETUR ANYIS ONATI DGBRI EAING RNSTE OPEUR DWEAN EREST IANAS
Permutation: (1, 3, 2, 0, 4) -> KERTU ANSYI ONIAT DGIBR EAGIN RNEST OPREU DWNEA ERTES IASNA
Permutation: (1, 3, 2, 4, 0) -> KERUT ANSIY ONITA DGIRB EAGNI RNETS OPRUE DWNAE ERTSE IASAN
Permutation: (1, 3, 4, 0, 2) -> KEUTR ANIYS ONTAI DGRBI EANIG RNTSE OPUER DWAEN ERSET IAANS
Permutation: (1, 3, 4, 2, 0) -> KEURT ANISY ONTIA DGRIB EANGI RNTES OPURE DWANE ERSTE IAASN
Permutation: (1, 4, 0, 2, 3) -> KUTRE AIYSN OTAIN DRBIG ENIGA RTSEN OUERP DAENW ESETR IANSA
Permutation: (1, 4, 0, 3, 2) -> KUTER AIYNS OTANI DRBGI ENIAG RTSNE OUEPR DAEWN ESERT IANAS
Permutation: (1, 4, 2, 0, 3) -> KURTE AISYN OTIAN DRIBG ENGIA RTESN OUREP DANEW ESTER IASNA
Permutation: (1, 4, 2, 3, 0) -> KURET AISNY OTINA DRIGB ENGAI RTENS OURPE DANWE ESTRE IASAN
Permutation: (1, 4, 3, 0, 2) -> KUETR AINYS OTNAI DRGBI ENAIG RTNSE OUPER DAWEN ESRET IAANS
Permutation: (1, 4, 3, 2, 0) -> KUERT AINSY OTNIA DRGIB ENAGI RTNES OUPRE DAWNE ESRTE IAASN
Permutation: (2, 0, 1, 3, 4) -> RTKEU SYANI IAONT IBDGR GIEAN ESRNT REOPU NEDWA TEERS SNIAA
Permutation: (2, 0, 1, 4, 3) -> RTKUE SYAIN IAOTN IBDRG GIENA ESRTN REOUP NEDAW TEESR SNIAA
Permutation: (2, 0, 3, 1, 4) -> RTEKU SYNAI IANOT IBGDR GIAEN ESNRT REPOU NEWDA TERES SNAIA
Permutation: (2, 0, 3, 4, 1) -> RTEUK SYNIA IANTO IBGRD GIANE ESNTR REPUO NEWAD TERSE SNAAI
Permutation: (2, 0, 4, 1, 3) -> RTUKE SYIAN IATON IBRDG GINEA ESTRN REUOP NEADW TESER SNAIA
Permutation: (2, 0, 4, 3, 1) -> RTUEK SYINA IATNO IBRGD GINAE ESTNR REUPO NEAWD TESRE SNAAI
Permutation: (2, 1, 0, 3, 4) -> RKTEU SAYNI IOANT IDBGR GEIAN ERSNT ROEPU NDEWA TEERS SINAA
Permutation: (2, 1, 0, 4, 3) -> RKTUE SAYIN IOATN IDBRG GEINA ERSTN ROEUP NDEAW TEESR SINAA
Permutation: (2, 1, 3, 0, 4) -> RKETU SANYI IONAT IDGBR GEAIN ERNST ROPEU NDWEA TERES SIANA
Permutation: (2, 1, 3, 4, 0) -> RKEUT SANIY IONTA IDGRB GEANI ERNTS ROPUE NDWAE TERSE SIAAN
Permutation: (2, 1, 4, 0, 3) -> RKUTE SAIYN IOTAN IDRBG GENIA ERTSN ROUEP NDAEW TESER SIANA
Permutation: (2, 1, 4, 3, 0) -> RKUET SAINY IOTNA IDRGB GENAI ERTNS ROUPE NDAWE TESRE SIAAN
Permutation: (2, 3, 0, 1, 4) -> RETKU SNYAI INAOT IGBDR GAIEN ENSRT RPEOU NWEDA TREES SANIA
Permutation: (2, 3, 0, 4, 1) -> RETUK SNYIA INATO IGBRD GAINE ENSTR RPEUO NWEAD TRESE SANAI
Permutation: (2, 3, 1, 0, 4) -> REKTU SNAYI INOAT IGDBR GAEIN ENRST RPOEU NWDEA TREES SAINA
Permutation: (2, 3, 1, 4, 0) -> REKUT SNAIY INOTA IGDRB GAENI ENRTS RPOUE NWDAE TRESE SAIAN
Permutation: (2, 3, 4, 0, 1) -> REUTK SNIYA INTAO IGRBD GANIE ENTSR RPUEO NWAED TRSEE SAANI
Permutation: (2, 3, 4, 1, 0) -> REUKT SNIAY INTOA IGRDB GANEI ENTRS RPUOE NWADE TRSEE SAAIN
Permutation: (2, 4, 0, 1, 3) -> RUTKE SIYAN ITAON IRBDG GNIEA ETSRN RUEOP NAEDW TSEER SANIA
Permutation: (2, 4, 0, 3, 1) -> RUTEK SIYNA ITANO IRBGD GNIAE ETSNR RUEPO NAEWD TSERE SANAI
Permutation: (2, 4, 1, 0, 3) -> RUKTE SIAYN ITOAN IRDBG GNEIA ETRSN RUOEP NADEW TSEER SAINA
Permutation: (2, 4, 1, 3, 0) -> RUKET SIANY ITONA IRDGB GNEAI ETRNS RUOPE NADWE TSERE SAIAN
Permutation: (2, 4, 3, 0, 1) -> RUETK SINYA ITNAO IRGBD GNAIE ETNSR RUPEO NAWED TSREE SAANI
Permutation: (2, 4, 3, 1, 0) -> RUEKT SINAY ITNOA IRGDB GNAEI ETNRS RUPOE NAWDE TSREE SAAIN
Permutation: (3, 0, 1, 2, 4) -> ETKRU NYASI NAOIT GBDIR AIEGN NSRET PEORU WEDNA REETS ANISA
Permutation: (3, 0, 1, 4, 2) -> ETKUR NYAIS NAOTI GBDRI AIENG NSRTE PEOUR WEDAN REEST ANIAS
Permutation: (3, 0, 2, 1, 4) -> ETRKU NYSAI NAIOT GBIDR AIGEN NSERT PEROU WENDA RETES ANSIA
Permutation: (3, 0, 2, 4, 1) -> ETRUK NYSIA NAITO GBIRD AIGNE NSETR PERUO WENAD RETSE ANSAI
Permutation: (3, 0, 4, 1, 2) -> ETUKR NYIAS NATOI GBRDI AINEG NSTRE PEUOR WEADN RESET ANAIS
Permutation: (3, 0, 4, 2, 1) -> ETURK NYISA NATIO GBRID AINGE NSTER PEURO WEAND RESTE ANASI
Permutation: (3, 1, 0, 2, 4) -> EKTRU NAYSI NOAIT GDBIR AEIGN NRSET POERU WDENA REETS AINSA
Permutation: (3, 1, 0, 4, 2) -> EKTUR NAYIS NOATI GDBRI AEING NRSTE POEUR WDEAN REEST AINAS
Permutation: (3, 1, 2, 0, 4) -> EKRTU NASYI NOIAT GDIBR AEGIN NREST POREU WDNEA RETES AISNA
Permutation: (3, 1, 2, 4, 0) -> EKRUT NASIY NOITA GDIRB AEGNI NRETS PORUE WDNAE RETSE AISAN
Permutation: (3, 1, 4, 0, 2) -> EKUTR NAIYS NOTAI GDRBI AENIG NRTSE POUER WDAEN RESET AIANS
Permutation: (3, 1, 4, 2, 0) -> EKURT NAISY NOTIA GDRIB AENGI NRTES POURE WDANE RESTE AIASN
Permutation: (3, 2, 0, 1, 4) -> ERTKU NSYAI NIAOT GIBDR AGIEN NESRT PREOU WNEDA RTEES ASNIA
Permutation: (3, 2, 0, 4, 1) -> ERTUK NSYIA NIATO GIBRD AGINE NESTR PREUO WNEAD RTESE ASNAI
Permutation: (3, 2, 1, 0, 4) -> ERKTU NSAYI NIOAT GIDBR AGEIN NERST PROEU WNDEA RTEES ASINA
Permutation: (3, 2, 1, 4, 0) -> ERKUT NSAIY NIOTA GIDRB AGENI NERTS PROUE WNDAE RTESE ASIAN
Permutation: (3, 2, 4, 0, 1) -> ERUTK NSIYA NITAO GIRBD AGNIE NETSR PRUEO WNAED RTSEE ASANI
Permutation: (3, 2, 4, 1, 0) -> ERUKT NSIAY NITOA GIRDB AGNEI NETRS PRUOE WNADE RTSEE ASAIN
Permutation: (3, 4, 0, 1, 2) -> EUTKR NIYAS NTAOI GRBDI ANIEG NTSRE PUEOR WAEDN RSEET AANIS
Permutation: (3, 4, 0, 2, 1) -> EUTRK NIYSA NTAIO GRBID ANIGE NTSER PUERO WAEND RSETE AANSI
Permutation: (3, 4, 1, 0, 2) -> EUKTR NIAYS NTOAI GRDBI ANEIG NTRSE PUOER WADEN RSEET AAINS
Permutation: (3, 4, 1, 2, 0) -> EUKRT NIASY NTOIA GRDIB ANEGI NTRES PUORE WADNE RSETE AAISN
Permutation: (3, 4, 2, 0, 1) -> EURTK NISYA NTIAO GRIBD ANGIE NTESR PUREO WANED RSTEE AASNI
Permutation: (3, 4, 2, 1, 0) -> EURKT NISAY NTIOA GRIDB ANGEI NTERS PUROE WANDE RSTEE AASIN
Permutation: (4, 0, 1, 2, 3) -> UTKRE IYASN TAOIN RBDIG NIEGA TSREN UEORP AEDNW SEETR ANISA
Permutation: (4, 0, 1, 3, 2) -> UTKER IYANS TAONI RBDGI NIEAG TSRNE UEOPR AEDWN SEERT ANIAS
Permutation: (4, 0, 2, 1, 3) -> UTRKE IYSAN TAION RBIDG NIGEA TSERN UEROP AENDW SETER ANSIA
